School Name,School Type,School Level,School Language,Grade Range,Street,Municipality,City,Province,Postal Code,School Website,Latitude,Longitude
Mountain View Public School,Public,Elementary,English,JK-8,Mahler Rd 1,"Sault Ste. Marie, City of",Goulais River,Ontario,P0S1E0,http://www.adsb.on.ca/sites/schools/mvs/default.aspx,46.77124,-84.3616
North Shore Adolescent Education School,Public,Secondary,English,9-12,303 Mississauga Ave,"Elliot Lake, City of",Elliot Lake,Ontario,P5A1E8,,46.37987,-82.6565
Northern Heights Public School,Public,Elementary,English,JK-8,210 Grand Blvd,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B4S8,http://www.adsb.on.ca/sites/schools/nhs/default.aspx,46.53072,-84.329
Parkland Public School,Public,Elementary,English,JK-8,54 Amber St,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A5G1,http://www.adsb.on.ca/sites/schools/pps/default.aspx,46.51456,-84.2582
Pinewood Public School,Public,Elementary,English,JK-8,3924 Queen St E,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A5K9,http://www.adsb.on.ca/sites/schools/pin/default.aspx,46.52417,-84.2477
Queen Elizabeth Public School,Public,Elementary,English,JK-8,139 Elizabeth St,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A3Z5,http://www.adsb.on.ca/sites/schools/qes/default.aspx,46.50658,-84.3041
R M Moore Public School,Public,Elementary,English,JK-8,1272 Base Line,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A6K4,http://www.adsb.on.ca/sites/schools/rmm/default.aspx,46.52177,-84.4441
River View Public School,Public,Elementary,English,JK-8,51 Wireless Ave,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B1L4,http://www.adsb.on.ca/sites/schools/rvs/default.aspx,46.51751,-84.299
Sir James Dunn Public School,Public,Elementary,English,JK-8,36 McKinley Ave,"Middlesex, County of",Wawa,Ontario,P0S1K0,http://www.adsb.on.ca/sites/schools/sje/default.aspx,47.99693,-84.7728
St Joseph Island Central Public School,Public,Elementary,English,JK-6,1326 Richards St,"St. Joseph, Township of",Richards Landing,Ontario,P0R1J0,http://www.adsb.on.ca/sites/schools/sjo/default.aspx,46.28922,-84.0347
Superior Heights Collegiate and Vocational School,Public,Secondary,English,9-12,750 north street,"Sault Ste. Marie, City of",Sault Ste. Marie,Ontario,P6B2C5,http://www.adsb.on.ca/sites/schools/shs/default.aspx,46.50845,-84.2882
Superior Heights Community Education,Public,Elementary,English,7-8,750 North Avenue,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B2C5,http://www.adsb.on.ca/sites/schools/shc/default.aspx,46.53951,-84.3349
Superior Heights Intermediate School,Public,Elementary,English,7-8,750 North Street,"Sault Ste. Marie, City of",Sault Ste. Marie,Ontario,P6B2C5,http://www.adsb.on.ca/sites/schools/sis/default.aspx,46.53951,-84.3349
Tarentorus Public School,Public,Elementary,English,JK-8,96 Northwood St,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6B4M4,http://www.adsb.on.ca/sites/schools/tps/default.aspx,46.54554,-84.3085
Thessalon Public School,Public,Elementary,English,JK-6,90 Stanley St,"Thessalon, Town of",Thessalon,Ontario,P0R1L0,http://www.adsb.on.ca/sites/schools/the/default.aspx,46.2604,-83.559
W C Eaket Secondary School,Public,Secondary,English,9-12,147 Woodward Ave,"Blind River, Town of",Blind River,Ontario,P0R1B0,http://www.adsb.on.ca/sites/schools/wce/default.aspx,46.18877,-82.9467
White Pines Collegiate and Vocational School,Public,Secondary,English,9-12,1007 Trunk Rd,"Sault Ste. Marie, City of",Sault Ste Marie,Ontario,P6A5K9,http://www.adsb.on.ca/sites/schools/wps/default.aspx,46.52684,-84.256
White Pines Intermediate School,Public,Elementary,English,7-8,1007 Trunk Road,"Sault Ste. Marie, City of",SAULT STE. MARIE,Ontario,P6A5K9,http://www.adsb.on.ca/sites/schools/wpi/default.aspx,46.52799,-84.2599
Archbishop O'Sullivan Catholic School,Catholic,Elementary,English,JK-8,974 Pembridge Cres,"Kingston, City of",Kingston,Ontario,K7P1A3,https://www.alcdsb.on.ca/school/abos/Pages/default.aspx,44.2496,-76.5849
Cathedrale Catholic School,Catholic,Elementary,English,JK-8,301 Johnson St,"Kingston, City of",Kingston,Ontario,K7L1Y5,https://www.alcdsb.on.ca/school/ecth/Pages/default.aspx,44.23167,-76.491
Georges Vanier Catholic School,Catholic,Elementary,English,JK-8,100 Tracey St E,"Belleville, City of",Belleville,Ontario,K8P2R8,https://www.alcdsb.on.ca/school/gvan/Pages/default.aspx,44.18404,-77.4013
Holy Cross Catholic Secondary School,Catholic,Secondary,English,9-12,1085 Woodbine Rd,"Kingston, City of",Kingston,Ontario,K7P2V9,https://www.alcdsb.on.ca/school/hcss/Pages/default.aspx,44.25899,-76.5987
Holy Name Catholic School,Catholic,Elementary,English,JK-8,370 Kingston Mills Road,"Kingston, City of",Kingston,Ontario,K7L5H6,https://www.alcdsb.on.ca/school/name/Pages/default.aspx,44.30068,-76.4242
Holy Name of Mary Catholic School,Catholic,Elementary,English,JK-8,7314 Old Highway 2 RR1,"Tyendinaga, Township of",Marysville,Ontario,K0K2N0,https://www.alcdsb.on.ca/school/namm/Pages/default.aspx,44.22671,-77.1368
Holy Rosary Catholic School,Catholic,Elementary,English,JK-8,10 Prince of Wales Dr,"Belleville, City of",Belleville,Ontario,K8P2T4,https://www.alcdsb.on.ca/school/rosa/Pages/default.aspx,44.17815,-77.3845
J J O'Neill Catholic School,Catholic,Elementary,English,JK-8,240 Marilyn Ave,"Greater Napanee, Town of",Napanee,Ontario,K7R2L4,https://www.alcdsb.on.ca/school/jjon/Pages/default.aspx,44.24701,-76.9636
Loyola Community Learning Centre,Catholic,Secondary,English,9-12,1440 Princess Street,"Kingston, City of",Kingston,Ontario,K7M3E5,https://www.learningatloyola.ca/campus/kingston/,44.2508,-76.5329
Nicholson Catholic College,Catholic,Secondary,English,9-12,301 Church St,"Belleville, City of",Belleville,Ontario,K8N3C7,https://www.alcdsb.on.ca/school/nicc/Pages/default.aspx,44.16855,-77.3825
Nicholson Catholic College (Grade 7 & 8),Catholic,Elementary,English,7-8,301 Church St,"Belleville, City of",Belleville,Ontario,K8N3C7,,44.16844,-77.38249
Our Lady of Fatima Catholic School,Catholic,Elementary,English,JK-8,300 Sidney St,"Belleville, City of",Belleville,Ontario,K8P3Z3,https://www.alcdsb.on.ca/school/ofat/Pages/default.aspx,44.16552,-77.4014
Our Lady of Lourdes Catholic School,Catholic,Elementary,English,JK-8,20 Cranbrook St,"Kingston, City of",Kingston,Ontario,K7M4M9,https://www.alcdsb.on.ca/school/lady/Pages/default.aspx,44.22013,-76.5708
Our Lady of Mercy Catholic School,Catholic,Elementary,English,JK-8,192 Bridge St W,"Bancroft, Town of",Bancroft,Ontario,K0L1C0,https://www.alcdsb.on.ca/school/omer/Pages/default.aspx,45.05601,-77.8624
Our Lady of Mount Carmel Catholic School,Catholic,Elementary,English,JK-8,97 Park Cres,"Loyalist, Township of",Amherstview,Ontario,K7N1L7,https://www.alcdsb.on.ca/school/olmc/Pages/default.aspx,44.2236,-76.6407
Regiopolis/Notre-Dame Catholic High School,Catholic,Secondary,English,9-12,130 Russell St,"Kingston, City of",Kingston,Ontario,K7K2E9,www.alcdsb.on.ca/school/regi,44.24334,-76.4939
Sacred Heart Catholic School,Catholic,Elementary,English,JK-8,50 Bursthall St,"Marmora and Lake, Municipality of",Marmora,Ontario,K0K2M0,https://www.alcdsb.on.ca/school/shrm/Pages/default.aspx,44.48104,-77.6787
Sacred Heart Catholic School,Catholic,Elementary,English,JK-8,31 Thomas Bata Blvd,"Quinte West, City of",Batawa,Ontario,K0K1E0,https://www.alcdsb.on.ca/school/shrb/Pages/default.aspx,44.17001,-77.5964
Sacred Heart Catholic School,Catholic,Elementary,English,JK-8,57 Hwy 95,"Frontenac Islands, Township of",Wolfe Island,Ontario,K0H2Y0,https://www.alcdsb.on.ca/school/shrt/Pages/default.aspx,44.19003,-76.442
St Carthagh Catholic School,Catholic,Elementary,English,JK-8,114 Hungerford Rd,"Tweed, Municipality of",Tweed,Ontario,K0K3J0,https://www.alcdsb.on.ca/school/cart/Pages/default.aspx,44.47874,-77.317
St Francis of Assisi Catholic School,Catholic,Elementary,English,JK-8,114 Wiley Street,"Kingston, City of",Kingston,Ontario,K7K5B5,https://www.alcdsb.on.ca/school/stfa/Pages/default.aspx,44.26086,-76.4907
St Gregory Catholic School,Catholic,Elementary,English,JK-8,7 Owen St,"Prince Edward, County of",Picton,Ontario,K0K2T0,https://www.alcdsb.on.ca/school/greg/Pages/default.aspx,44.00879,-77.1326
St James Major,Catholic,Elementary,English,JK-8,14608 Hwy. #38,"Essex, County of",Sharbot Lake,Ontario,K0H2P0,https://www.alcdsb.on.ca/school/jams/Pages/default.aspx,44.77277,-76.6883
St Joseph Catholic School,Catholic,Elementary,English,JK-8,405 Bridge St E,"Belleville, City of",Belleville,Ontario,K8N1P7,https://www.alcdsb.on.ca/school/jose/Pages/default.aspx,44.16896,-77.3584
St Marguerite Bourgeoys Catholic School,Catholic,Elementary,English,JK-8,355 Waterloo Ave,"Kingston, City of",Kingston,Ontario,K7M8P5,https://www.alcdsb.on.ca/school/marg/Pages/default.aspx,44.25374,-76.5534
St Martha Catholic School,Catholic,Elementary,English,JK-8,455 St Martha St,"Kingston, City of",Kingston,Ontario,K7K7C2,https://www.alcdsb.on.ca/school/mart/Pages/default.aspx,44.26573,-76.4467
St Martin of Tours Catholic School,Catholic,Elementary,English,JK-8,62 Post Street,"Timmins, City of",Whitney,Ontario,K0J2M0,https://www.alcdsb.on.ca/school/marn/Pages/default.aspx,45.49137,-78.2361
St Mary Catholic School,Catholic,Elementary,English,JK-6,85 Campbell St,"Quinte West, City of",Trenton,Ontario,K8V3A2,https://www.alcdsb.on.ca/school/stmt/Pages/default.aspx,44.10885,-77.5662
St Mary Catholic School,Catholic,Elementary,English,JK-8,1285 Read Rd RR 1,"Tyendinaga, Township of",Shannonville,Ontario,K0K3A0,https://www.alcdsb.on.ca/school/stms/Pages/default.aspx,44.3069,-77.2217
St Michael Catholic School,Catholic,Elementary,English,JK-8,273 Church St,"Belleville, City of",Belleville,Ontario,K8N3C7,https://www.alcdsb.on.ca/school/mich/Pages/default.aspx,44.16771,-77.3821
St Patrick Catholic School,Catholic,Elementary,English,JK-8,6041 HW Y 41,"Stone Mills, Township of",Erinsville,Ontario,K0K2A0,https://www.alcdsb.on.ca/school/stpe/Pages/default.aspx,44.48645,-77.0527
St Patrick Catholic School,Catholic,Elementary,English,JK-8,3889 Wilton Rd,"South Frontenac, Township of",Harrowsmith,Ontario,K0H1V0,https://www.alcdsb.on.ca/school/stph/Pages/default.aspx,44.39978,-76.67
St Paul Catholic Elementary School,Catholic,Elementary,English,7-8,15 Tripp Blvd,"Quinte West, City of",Trenton,Ontario,K8V6M2,www.alcdsb.on.ca/school/pass,44.0943,-77.5974
St Paul Catholic School,Catholic,Elementary,English,JK-8,266 McMahon Ave,"Kingston, City of",Kingston,Ontario,K7M3H2,https://www.alcdsb.on.ca/school/paul/Pages/default.aspx,44.24963,-76.5241
St Paul Catholic Secondary School,Catholic,Secondary,English,9-12,15 Tripp Blvd,"Quinte West, City of",Trenton,Ontario,K8V6M2,www.alcdsb.on.ca/school/pass,44.09403,-77.5981
St Peter Catholic School,Catholic,Elementary,English,JK-8,15A Tripp Blvd,"Quinte West, City of",Trenton,Ontario,K8V6M2,https://www.alcdsb.on.ca/school/pett/Pages/default.aspx,44.09989,-77.579
St Theresa Catholic Secondary School,Catholic,Secondary,English,9-12,135 Adam St,"Belleville, City of",Belleville,Ontario,K8N5S1,www.alcdsb.on.ca/school/thss,44.19052,-77.3819
St Thomas More Catholic School,Catholic,Elementary,English,JK-8,234 Norman Rogers Dr,"Kingston, City of",Kingston,Ontario,K7M2R4,https://www.alcdsb.on.ca/school/sttm/Pages/default.aspx,44.23513,-76.524
St. Genevieve Catholic School/Ecole Catholique Sainte-Genevieve,Catholic,Elementary,English,JK-8,386 Holden Street,"Kingston, City of",Kingston,Ontario,K7L4V2,,44.267484,-76.58967
St. John XXIII Catholic School,Catholic,Elementary,English,JK-8,736 High Gate Park Dr,"Kingston, City of",Kingston,Ontario,K7M5Z9,https://www.alcdsb.on.ca/school/john/Pages/default.aspx,44.24649,-76.6039
St. Teresa of Calcutta Catholic School,Catholic,Elementary,English,JK-8,1044 Lancaster Dr,"Kingston, City of",Kingston,Ontario,K7P2L6,https://www.alcdsb.on.ca/school/trsa/Pages/default.aspx,44.25586,-76.5982
Anne Hathaway Public School,Public,Elementary,English,JK-6,77 Bruce St,"Stratford, City of",Stratford,Ontario,N5A4A2,annehathaway.amdsb.ca,43.3579,-80.972
Avon Maitland District E-learning Centre,Public,Secondary,English,9-12,165 Princess St E,"Central Huron, Municipality of",Clinton,Ontario,N0M1L0,amdec.avonmaitlandsecondary.ca,43.6186,-81.5326
Avon Public School,Public,Elementary,English,JK-6,31 Huntingdon Ave,"Stratford, City of",Stratford,Ontario,N5A6N7,avon.amdsb.ca,43.37444,-80.9979
Bedford Public School,Public,Elementary,English,JK-6,59 Bedford Dr,"Stratford, City of",Stratford,Ontario,N5A5J7,bedford.amdsb.ca,43.3824,-80.9722
Bluewater Coast Elementary Public School,Public,Elementary,English,JK-6,85 York Street,"Bluewater, Municipality of",Hensall,Ontario,N0M1X0,bluewatercoast.amdsb.ca,43.43146,-81.5015
Brookside Public School,Public,Elementary,English,JK-8,36937 Belgrave Road RR 7,"Ashfield-Colborne-Wawanosh, Townsh",Lucknow,Ontario,N0G2H0,brookside.amdsb.ca,43.89914,-81.5709
Central Huron Secondary School,Public,Secondary,English,9-12,165 Princess St E,"Central Huron, Municipality of",Clinton,Ontario,N0M1L0,chss.amdsb.ca,43.61681,-81.5337
Central Perth Elementary School,Public,Elementary,English,JK-8,4663 Road 135 RR 1,"Perth East, Township of",Sebringville,Ontario,N0K1X0,http://www.avonmaitlandschools.ca/centralperth/,43.46305,-81.0266
Clinton Public School,Public,Elementary,English,JK-8,27 Percival St,"Central Huron, Municipality of",Clinton,Ontario,N0M1L0,clinton.amdsb.ca,43.61488,-81.532
Downie Central Public School,Public,Elementary,English,JK-8,4384 Line 20 RR 2,"Perth South, Township of",St Pauls,Ontario,N0K1V0,downie.amdsb.ca,43.32748,-81.0775
Elma Township Public School,Public,Elementary,English,JK-8,5972 Line 72 RR 2,"North Perth, Municipality of",Atwood,Ontario,N0G1B0,elma.amdsb.ca,43.65629,-81.0259
Exeter Elementary School,Public,Elementary,English,JK-6,93 Victoria St E,"South Huron, Municipality of",Exeter,Ontario,N0M1S1,exeter.amdsb.ca,43.35124,-81.4776
F E Madill Secondary School,Public,Secondary,English,9-12,231 Madill Dr,"North Huron, Township of",Wingham,Ontario,N0G2W0,femss.amdsb.ca,43.88247,-81.3064
F. E. Madill Elementary,Public,Elementary,English,7-8,231 Madill Drive,"North Huron, Township of",Wingham,Ontario,N0G2W0,femss.amdsb.ca,43.8824,-81.3064
GDCI - Elementary,Public,Elementary,English,7-8,260 South St,"Goderich, Town of",Goderich,Ontario,N7A3M5,gdci.amdsb.ca,43.73417,-81.7112
Goderich District Collegiate Institute,Public,Secondary,English,9-12,260 South St,"Goderich, Town of",Goderich,Ontario,N7A3M5,gdci.amdsb.ca,43.73412,-81.7112
Goderich Public School,Public,Elementary,English,JK-6,125 Blake St W,"Goderich, Town of",Goderich,Ontario,N7A1Z1,goderich.amdsb.ca,43.73468,-81.7164
Hamlet Public School,Public,Elementary,English,JK-6,315 West Gore St,"Stratford, City of",Stratford,Ontario,N5A7N4,hamlet.amdsb.ca,43.3645,-80.9909
Howick Central Public School,Public,Elementary,English,JK-8,45010 Harriston Road RR 1,"Howick, Township of",Gorrie,Ontario,N0G1X0,howick.amdsb.ca,43.88372,-81.054
Hullett Central Public School,Public,Elementary,English,JK-8,269 King St,"Central Huron, Municipality of",Londesborough,Ontario,N0M2H0,hullett.amdsb.ca,43.69759,-81.4775
Huron Centennial Public School,Public,Elementary,English,JK-8,39978 Centennial Rd RR 1,"Bluewater, Municipality of",Brucefield,Ontario,N0M1J0,huroncentennial.amdsb.ca,43.50722,-81.5155
Listowel District Secondary School,Public,Secondary,English,9-12,155 Maitland Ave S,"North Perth, Municipality of",Listowel,Ontario,N4W2M4,ldss.amdsb.ca,43.72751,-80.9467
Listowel Eastdale Public School,Public,Elementary,English,JK-6,365 Nichol Ave S,"North Perth, Municipality of",Listowel,Ontario,N4W2M3,listoweleastdale.amdsb.ca,43.72679,-80.9496
Little Falls Public School,Public,Elementary,English,JK-6,25 Lindsay Atkinson Drive,"St. Marys, Town of",St Marys,Ontario,N4X1B6,littlefalls.amdsb.ca,43.25111,-81.1319
Maitland River Elementary Public School,Public,Elementary,English,JK-6,250 John St E,"North Huron, Township of",Wingham,Ontario,N0G2W0,maitlandriver.amdsb.ca,43.88225,-81.3033
Milverton Public School,Public,Elementary,English,JK-8,68 Mill St E,"Perth East, Township of",Milverton,Ontario,N0K1M0,milverton.amdsb.ca,43.56293,-80.915
Mitchell District Elementary Public School,Public,Elementary,English,7-8,95 Francis Street 5,"West Perth, Municipality of",Mitchell,Ontario,N0K1N0,mdhs.amdsb.ca,43.47518,-81.1895
Mitchell District High School,Public,Secondary,English,9-12,95 Frances St RR 5,"West Perth, Municipality of",Mitchell,Ontario,N0K1N0,mdhs.amdsb.ca,43.47518,-81.1895
Mornington Central Public School,Public,Elementary,English,JK-8,7241 Road 131 RR 1,"Perth East, Township of",Newton,Ontario,N0K1R0,mornington.amdsb.ca,43.61469,-80.8846
North Easthope Public School,Public,Elementary,English,JK-8,4672 Road 108 RR 1,"Perth East, Township of",Stratford,Ontario,N5A6S2,northeasthope.amdsb.ca,43.42512,-80.864
North Perth Westfield Elementary School,Public,Elementary,English,JK-8,955 Binning Street,"North Perth, Municipality of",Listowel,Ontario,N4W0G3,westfield.amdsb.ca,43.74007,-80.9644
North Woods Elementary School,Public,Elementary,English,JK-6,84925 Ethel Line,"Huron East, Municipality of",Ethel,Ontario,N0G1T0,northwoods.amdsb.ca,43.71417,-81.145
Romeo Public School,Public,Elementary,English,JK-6,49 Rebecca St,"Stratford, City of",Stratford,Ontario,N5A3P2,romeo.amdsb.ca,43.36905,-80.9779
Seaforth Public School,Public,Elementary,English,JK-8,58 Chalk North St N,"Huron East, Municipality of",Seaforth,Ontario,N0K1W0,seaforth.amdsb.ca,43.55481,-81.3889
Shakespeare Public School,Public,Elementary,English,JK-6,35 Mowat St,"Stratford, City of",Stratford,Ontario,N5A2B8,shakespeare.amdsb.ca,43.36207,-80.9829
South Huron District High School,Public,Secondary,English,9-12,92 Gidley St E,"South Huron, Municipality of",Exeter,Ontario,N0M1S6,shdhs.amdsb.ca,43.34951,-81.4774
South Huron Elementary Public School,Public,Elementary,English,7-8,92 Gidley Street East,"South Huron, Municipality of",Exeter,Ontario,N0M1S6,shdhs.amdsb.ca,43.34944,-81.4776
South Perth Centennial Public School,Public,Elementary,English,JK-8,1866 Road 163 RR 1,"Perth South, Township of",St Marys,Ontario,N4X1C4,southperth.amdsb.ca,43.26794,-81.193
Sprucedale Public School,Public,Elementary,English,JK-8,2215 Fraser St,"Perth East, Township of",Shakespeare,Ontario,N0B2P0,sprucedale.amdsb.ca,43.36809,-80.8394
St Marys D.C. & V. I. High School,Public,Secondary,English,9-12,338 Elizabeth St,"St. Marys, Town of",St Marys,Ontario,N4X1B6,smdcvi.amdsb.ca,43.257,-81.1339
St Marys D.C. & V.I. - Elementary Elementary Public School,Public,Elementary,English,7-8,338 Elizabeth Street,"St. Marys, Town of",St. Marys,Ontario,N4X1B6,smdcvi.amdsb.ca,43.25705,-81.1339
Stephen Central Public School,Public,Elementary,English,JK-6,70042 Goshen Line RR 3,"South Huron, Municipality of",Dashwood,Ontario,N0M1N0,stephen.amdsb.ca,43.29587,-81.5989
Stratford District Secondary School,Public,Secondary,English,9-12,428 Forman Ave,"Stratford, City of",Stratford,Ontario,N5A6R7,sdss.amdsb.ca,43.385338,-80.993501
Stratford Intermediate School,Public,Elementary,English,7-8,60 St Andrew,"Stratford, City of",Stratford,Ontario,N5A1A3,stratfordintermediate.amdsb.ca,43.371098,-80.988298
Upper Thames Elementary School,Public,Elementary,English,JK-8,165 Frances Street RR 5,"West Perth, Municipality of",Mitchell,Ontario,N0K1N0,upperthames.amdsb.ca,43.4736,-81.1857
Bloorview School Authority,Hospital,Elementary,English,JK-8,150 Kilgour Rd,"Toronto, City of",Toronto,Ontario,M4G1R8,http://www.bloorviewschool.ca,43.71881,-79.3725
Alexandra Community School,Public,Elementary,English,JK-8,1556 8th Ave E,"Owen Sound, City of",Owen Sound,Ontario,N4K3B6,http://www.alx.bwdsb.on.ca,44.57298,-80.9294
Amabel-Sauble Community School,Public,Elementary,English,JK-8,555 Sauble Falls Parkway RR 1,The South Bruce Peninsula,Sauble Beach,Ontario,N0H2G0,http://www.sau.bwdsb.on.ca,44.65046,-81.2568
Arran Tara Elementary School,Public,Elementary,English,JK-8,106 Brook St W,"Arran-Elderslie, Municipality of",Tara,Ontario,N0H2N0,http://www.tar.bwdsb.on.ca,44.48145,-81.1525
Beaver Valley Community School,Public,Elementary,English,JK-8,189 Bruce St. S.,"The Blue Mountains, Town of",Thornbury,Ontario,N0H2P0,http://www.bvc.bwdsb.on.ca,44.55342,-80.4621
Beavercrest Community School,Public,Elementary,English,JK-8,101 Main St E,"Grey Highlands, Municipality of",Markdale,Ontario,N0C1H0,http://www.bcc.bwdsb.on.ca,44.32033,-80.6452
Bluewater Alternative Education School,Public,Secondary,English,9-12,351 1St Avenue 2,"Arran-Elderslie, Municipality of",Chesley,Ontario,N0G1L0,,44.31022,-81.09646
Bruce Peninsula District School,Public,Elementary,English,JK-8,5 Moore St,"Northern Bruce Peninsula, Municipa",Lion s Head,Ontario,N0H1W0,http://www.bpds.bwdsb.on.ca/,44.98479,-81.2519
